Acanthamoeba,NP_042556.1,100.000,173,0,0,1,173,1,173,7.06e-116,335,100.00
Acanthamoeba,AKT94006.1,81.034,174,29,3,1,173,1,171,1.90e-86,261,89.08
Acanthamoeba,WP_075553244.1,76.471,51,12,0,48,98,1,51,5.77e-17,81.3,88.24
Acanthamoeba,YP_009478302.1,28.302,106,67,4,52,152,10,111,0.001,48.5,50.94
Dictyostelium,NP_050102.1,100.000,127,0,0,1,127,1,127,1.87e-86,257,100.00
Dictyostelium,YP_492649.1,88.189,127,15,0,1,127,1,127,2.94e-75,229,92.91
Dictyostelium,YP_010191908.1,73.228,127,34,0,1,127,1,127,1.45e-62,197,88.19
Saccharomyces,NP_014093.1,100.000,217,0,0,1,217,1,217,2.14e-159,449,100.00
Saccharomyces,AJT25384.1,99.539,217,1,0,1,217,1,217,6.40e-159,448,100.00
Saccharomyces,CAD6643918.1,99.539,217,1,0,1,217,1,217,8.89e-159,447,99.54
Saccharomyces,EGA81226.1,99.539,217,1,0,1,217,1,217,1.04e-158,447,99.54
Saccharomyces,AJT01482.1,99.539,217,1,0,1,217,1,217,1.35e-158,447,99.54
Saccharomyces,EGA77247.1,99.078,217,2,0,1,217,1,217,1.49e-158,447,99.08
Saccharomyces,AHY76807.1,99.539,217,1,0,1,217,1,217,1.76e-158,447,99.54
Saccharomyces,AJT26119.1,99.078,217,2,0,1,217,1,217,4.00e-158,446,99.54
Saccharomyces,AJT23539.1,99.078,217,2,0,1,217,1,217,5.87e-158,446,99.08
Saccharomyces,EDZ69881.1,99.078,217,2,0,1,217,1,217,8.53e-158,445,99.54
Saccharomyces,AJT02230.1,99.078,217,2,0,1,217,1,217,9.41e-158,445,99.54
Saccharomyces,AJT02230.1,99.078,217,2,0,1,217,1,217,9.41e-158,445,99.54
Saccharomyces,AJT18364.1,99.078,217,2,0,1,217,1,217,9.41e-158,445,99.54
Saccharomyces,EHN05126.1,99.078,217,2,0,1,217,1,217,2.42e-157,444,99.08
Saccharomyces,AJT01852.1,99.078,217,2,0,1,217,1,217,2.82e-157,444,99.08
Saccharomyces,AJT29807.1,99.078,217,2,0,1,217,1,217,5.16e-157,443,99.08
Saccharomyces,CAA86389.1,100.000,198,0,0,1,198,1,198,8.96e-145,411,100.00
Saccharomyces,XP_033768661.1,90.323,217,21,0,1,217,1,217,7.14e-144,410,95.39
Saccharomyces,EJS42107.1,86.636,217,29,0,1,217,1,217,2.43e-134,386,94.01
Saccharomyces,EJT41965.1,83.871,217,35,0,1,217,5,221,5.91e-133,382,91.24
